Longitude,Latitude,RelativeDensity
-6.00,36.50,0.00000
-5.50,36.50,0.00000
-5.00,36.50,0.00000
1.50,36.50,0.00000
2.00,36.50,0.00000
2.50,36.50,0.00000
3.00,36.50,0.00000
3.50,36.50,0.00000
4.00,36.50,0.00000
4.50,36.50,0.00000
5.00,36.50,0.00000
5.50,36.50,0.00000
6.00,36.50,0.00000
6.50,36.50,0.00000
7.00,36.50,0.00000
7.50,36.50,0.00000
8.00,36.50,0.00000
8.50,36.50,0.00000
9.00,36.50,0.00000
9.50,36.50,0.00000
10.00,36.50,0.00000
10.50,36.50,0.00000
23.00,36.50,0.00000
29.50,36.50,0.00000
30.00,36.50,0.00000
-6.00,37.00,0.00000
-5.50,37.00,0.00000
-5.00,37.00,0.00000
-4.50,37.00,0.00000
-4.00,37.00,0.00000
-3.50,37.00,0.00000
-3.00,37.00,0.00000
-2.50,37.00,0.00000
-2.00,37.00,0.00000
6.50,37.00,0.00000
7.50,37.00,0.00000
9.00,37.00,0.00000
9.50,37.00,0.00000
10.00,37.00,0.00000
11.00,37.00,0.00000
14.50,37.00,0.00000
15.00,37.00,0.00000
22.00,37.00,0.00000
22.50,37.00,0.00000
23.00,37.00,0.00000
25.50,37.00,0.00000
28.50,37.00,0.00000
29.00,37.00,0.00000
29.50,37.00,0.00000
30.00,37.00,0.00000
-8.50,37.50,0.00000
-8.00,37.50,0.00000
-7.50,37.50,0.00000
-7.00,37.50,0.00000
-6.50,37.50,0.00000
-6.00,37.50,0.00000
-5.50,37.50,0.00000
-5.00,37.50,0.00000
-4.50,37.50,0.00000
-4.00,37.50,0.00000
-3.50,37.50,0.00000
-3.00,37.50,0.00000
-2.50,37.50,0.00000
-2.00,37.50,0.00000
-1.50,37.50,0.00000
13.50,37.50,0.00000
14.00,37.50,0.00000
14.50,37.50,0.00000
15.00,37.50,0.00000
22.00,37.50,0.00000
22.50,37.50,0.00000
23.00,37.50,0.00000
23.50,37.50,0.00000
27.50,37.50,0.00000
28.00,37.50,0.00000
28.50,37.50,0.00000
29.00,37.50,0.00000
29.50,37.50,0.00000
30.00,37.50,0.00000
30.50,37.50,0.00000
-8.50,38.00,0.00000
-8.00,38.00,0.00000
-7.50,38.00,0.00000
-7.00,38.00,0.00000
-6.50,38.00,0.00000
-6.00,38.00,0.00000
-5.50,38.00,0.00000
-5.00,38.00,0.00000
-4.50,38.00,0.00000
-4.00,38.00,0.00000
-3.50,38.00,0.00000
-3.00,38.00,0.00000
-2.50,38.00,0.00000
-2.00,38.00,0.00000
-1.50,38.00,0.00000
-1.00,38.00,0.00000
13.00,38.00,0.00000
13.50,38.00,0.00000
14.00,38.00,0.00000
14.50,38.00,0.00000
15.00,38.00,0.00000
15.50,38.00,0.00000
16.00,38.00,0.00000
21.50,38.00,0.00000
22.00,38.00,0.00000
22.50,38.00,0.00000
23.00,38.00,0.00000
23.50,38.00,0.00000
24.00,38.00,0.00000
24.50,38.00,0.00000
27.50,38.00,0.00000
28.00,38.00,0.00000
28.50,38.00,0.00000
29.00,38.00,0.00000
29.50,38.00,0.00000
30.00,38.00,0.00000
30.50,38.00,0.00000
-9.00,38.50,0.00000
-8.50,38.50,0.00000
-8.00,38.50,0.00000
-7.50,38.50,0.00000
-7.00,38.50,0.00000
-6.50,38.50,0.00000
-6.00,38.50,0.00000
-5.50,38.50,0.00000
-5.00,38.50,0.00000
-4.50,38.50,0.00000
-4.00,38.50,0.00000
-3.50,38.50,0.00000
-3.00,38.50,0.00000
-2.50,38.50,0.00000
-2.00,38.50,0.00000
-1.50,38.50,0.00000
-1.00,38.50,0.00000
-0.50,38.50,0.00000
16.00,38.50,0.00000
16.50,38.50,0.00000
21.50,38.50,0.00000
22.00,38.50,0.00000
22.50,38.50,0.00000
23.00,38.50,0.00000
23.50,38.50,0.00000
24.00,38.50,0.00000
27.50,38.50,0.00000
28.00,38.50,0.00000
28.50,38.50,0.00000
29.00,38.50,0.00000
29.50,38.50,0.00000
30.00,38.50,0.00000
30.50,38.50,0.00000
-9.00,39.00,0.00000
-8.50,39.00,0.00000
-8.00,39.00,0.00000
