"Parameter","Lower95","Median","Upper95"
"OriginLatitude",36.87346560862365,46.98646660829624,60.903855687331365
"OriginLongitude",-8.040673842604672,14.802695085512642,33.05546727309177
"OriginTimeBP",5084.400588587411,6603.2094583392845,8959.851590752405
"Log10InjectFrequency",-2.938353083519624,-1.9969163787115414,-1.0506258207045978
"SelectionBase",0.0003098749154802971,0.0074672312428590475,0.014660229808683293
"SelectionDairying",0.0016000512325909666,0.030435939577149455,0.05853086376694665
"Migration",0.02751752036234012,0.15912847141547523,0.2934069686999818
"SelectionMultiplierBritishIsles",0.8368093543885835,1.4893186861473087,2.1636734860367444
"SelectionMultiplierRhineDanube",0.6285119643706079,1.198678532325527,1.769892488257476
"SelectionMultiplierMediterranean",0.42186198484825577,0.8959030558763662,1.3729801510080093
"SelectionMultiplierBaltic",0.8402636941484662,1.611286305006482,2.3612872603969444
"DairyingLeadYears",76.44548495560599,1153.8616783236662,1964.4492696736572
"CallErrorRate",0.0004718976197829683,0.00997349935133613,0.019528560855347037
"SelectionTotalDairying",0.007048946962383227,0.03785601868715874,0.06823570696666495
