"Parameter","Rhat","MinChainESS","ChainMedians"
"OriginLatitude",1.7117754376994259,5.7765807297241265,"43.5443 | 46.0301 | 45.6703"
"OriginLongitude",1.3423167341502338,14.322882388960684,"8.81658 | 9.96571 | 10.0675"
"OriginTimeBP",2.3936821978105995,2.9309706418737727,"9099.52 | 9255.06 | 8935."
"SelectionBase",2.9686768792761016,12.345937167539395,"0.000118971 | 0.00525489 | 0.0129352"
"SelectionDairying",6.394295568681348,10.029982525780783,"0.0589274 | 0.0345962 | 0.0183817"
"Migration",1.4567020139843798,17.572210746693322,"0.295804 | 0.29047 | 0.277534"
"SelectionMultiplierBritishIsles",6.126309445601073,7.2322176888764425,"1.0341 | 1.38141 | 2.15051"
"SelectionMultiplierRhineDanube",1.9663180431690686,4.077807257135224,"0.639311 | 0.690674 | 0.827554"
"SelectionMultiplierMediterranean",1.2677536402765814,3.637869724452449,"0.45672 | 0.484176 | 0.511777"
"SelectionMultiplierBaltic",4.7517980206648165,6.293871486206387,"1.00083 | 1.20993 | 1.82653"
"DairyingLeadYears",1.8963536797749598,3.900413899086154,"1630.45 | 1781.64 | 1593.92"
"CallErrorRate",1.213483531488049,5.807364569408012,"0.0183961 | 0.0171282 | 0.0165448"
"InjectFrequency",1.6227938064787424,3.1084546893335627,"0.0140804 | 0.0313234 | 0.0299806"
