"Region","MillenniumBP","Samples","Called","Derived","ObservedFreq","ModelFreq","RegionalLogisticFreq","LLModelMinusLogistic"
"Baltic",0,38,64,46,0.71875,0.6915565740602996,0.6695540470378628,-1.4194164780999543
"Baltic",1,198,379,204,0.5382585751978891,0.5053689873235903,0.5490001429342318,-35.60137786699295
"Baltic",2,18,26,8,0.3076923076923077,0.07205599966989512,0.23491695919612451,-6.5924265228881485
"Baltic",3,26,52,4,0.07692307692307693,0.07192910865504083,0.09128571059018979,0.40508081392169615
"Baltic",4,35,63,3,0.047619047619047616,0.02553604472453126,0.027912187030901585,-1.321609091676672
"Baltic",5,57,110,0,0,0.020186124613356414,0.011995878459688627,-0.9153397111351818
"Baltic",6,17,26,0,0,0.017858335363968702,0.0034235036256534917,-0.3793382319997795
"Baltic",7,29,51,0,0,0.01762212852622191,0.0009793260046032336,-0.8567691772694485
"Baltic",8,6,11,0,0,0.017552387936415115,0.0003747532663062987,-0.1906677523750078
"Baltic",9,8,15,0,0,0.017536727896585166,0.00011317920474726012,-0.26368697743161895
"British Isles",0,65,129,85,0.6589147286821705,0.8080934208804732,0.7956298841612534,0.4783401774444087
"British Isles",1,227,307,197,0.6416938110749186,0.5824786284553298,0.6343027937779658,-60.796033533008256
"British Isles",2,278,311,151,0.4855305466237942,0.3822630917142339,0.3967900599885495,-6.9070228914658856
"British Isles",3,58,70,7,0.09999999999999999,0.09390705125504431,0.1578455592305874,1.4103938349855625
"British Isles",4,57,64,1,0.015625,0.04082965572035618,0.07831416511877573,1.9790307763948736
"British Isles",5,124,199,0,0,0.01884882292096293,0.020727626925908554,0.38367094458385864
"British Isles",6,3,5,0,0,0.017701451574377042,0.00888553107265808,-0.04465035746144111
"British Isles",9,2,2,0,0,0.017536727896585162,0.00027582993131388767,-0.034832900082200795
"Mediterranean",0,91,114,20,0.17543859649122806,0.20135923134340428,0.18935663543880898,2.0377946814837955
"Mediterranean",1,285,400,43,0.1075,0.1246326347423325,0.10328469953435429,-0.45024768913646085
"Mediterranean",2,312,358,16,0.0446927374301676,0.05769777375935956,0.054162609201795255,-2.9424322776608562
"Mediterranean",3,246,263,10,0.03802281368821293,0.03161799191569421,0.025500370957603664,0.11316537531368454
"Mediterranean",4,196,232,3,0.01293103448275862,0.02273122790136369,0.012502049064338371,-1.6292113864748394
"Mediterranean",5,76,95,0,0,0.020781125922278983,0.00631707658589888,-1.3933354459679235
"Mediterranean",6,111,123,1,0.008130081300813009,0.017964867334482854,0.002681461266202579,0.08088160412355538
"Mediterranean",7,62,84,0,0,0.01785985511691573,0.0012052860247212692,-1.412493878132764
"Mediterranean",8,69,98,0,0,0.017546618101978502,0.0006673372256214965,-1.6694123145629498
"Mediterranean",9,13,18,0,0,0.017536727896585166,0.0002919242945281042,-0.31320628936904304
"Other Europe",0,12,23,4,0.17391304347826086,0.23773585839390188,0.2987441440412568,1.0571033766438642
"Other Europe",1,9,17,6,0.3529411764705882,0.17531114238207415,0.21774420532344424,-1.3581579438342484
"Other Europe",2,31,52,9,0.17307692307692307,0.04393223785326154,0.13743141188399943,-3.311761362574984
"Other Europe",3,17,30,4,0.13333333333333333,0.022611018921597587,0.0763734469058246,-4.202608782325404
"Other Europe",4,38,45,0,0,0.019620154688510836,0.049240303809664356,1.3813309835564183
"Other Europe",5,59,71,0,0,0.018004200342257207,0.028149492103153,0.7377661033453944
"Other Europe",6,13,15,0,0,0.017732841583675534,0.017296674044547874,-0.006597169677505843
"Other Europe",7,19,27,0,0,0.01774499612141698,0.010377358516777136,-0.20175279108098498
"Other Europe",8,19,37,2,0.05405405405405406,0.01753672789658517,0.00560954237457522,1.9174128488370226
"Other Europe",9,4,8,0,0,0.017536727896585162,0.003497036538967259,-0.11351305918681802
"Rhine-Danube",0,248,439,246,0.5603644646924829,0.5040638248379211,0.38968234860343076,27.93497455304407
"Rhine-Danube",1,1459,1865,388,0.20804289544235927,0.22200067080224456,0.25480468847106713,61.22943108855725
"Rhine-Danube",2,191,216,21,0.09722222222222221,0.10663598818153455,0.09227867273988641,1.2639686563427404
"Rhine-Danube",3,127,158,10,0.06329113924050633,0.05061285690057629,0.03305687121699751,-0.35762964547653553
"Rhine-Danube",4,422,496,13,0.026209677419354836,0.03220065256655049,0.013720363332650044,1.4273117974593958
"Rhine-Danube",5,147,202,0,0,0.023924743315712427,0.004555625900285871,-3.9704620781652684
"Rhine-Danube",6,349,409,1,0.0024449877750611247,0.01862572993094765,0.001526121031122695,-4.237106087518244
"Rhine-Danube",7,299,322,0,0,0.018066592306490794,0.0006564538551385509,-5.659243141824104
"Rhine-Danube",8,9,11,1,0.09090909090909091,0.018200659405907208,0.00019623719835576157,4.928165222162594
"Rhine-Danube",9,3,4,0,0,0.017536727896585162,0.00006642619686368553,-0.07050355786602464
