"Parameter","Lower95","Q25","Median","Q75","Upper95"
"OriginLatitude",45.19505725142654,46.901379378933825,48.02067917740681,48.48741702522701,48.956210246628515
"OriginLongitude",9.535257067864471,10.052839919182698,10.405276190243892,10.68922008836643,10.953902375280975
"OriginTimeBP",8890.3287515457,9274.993658291562,9377.68662053167,9465.236483893004,9522.433069641278
"Log10InjectFrequency",-1.6484854576777563,-1.5107869568453385,-1.4260007579325449,-1.3340585782579835,-1.206945621862002
"SelectionBase",0.005444165997334933,0.00641513052046695,0.007000700107913427,0.007620545657430636,0.008798109151264144
"SelectionDairying",0.017922445554259356,0.019421524265272976,0.02019760274067843,0.020834460323510755,0.021685603794490825
"Migration",0.22146978901279596,0.2533010091188357,0.2657434509649848,0.27459346124824663,0.287949395294005
"SelectionMultiplierBritishIsles",2.199703966993024,2.1998871505597872,2.1999409360603783,2.199975592157101,2.1999967565838414
"SelectionMultiplierRhineDanube",0.9973796559018331,1.0403793198195013,1.0882754131386303,1.108222760102736,1.1417311352788806
"SelectionMultiplierMediterranean",0.42839590266279004,0.4562039887687128,0.49015341925939127,0.5250044358340329,0.6269388219922074
"SelectionMultiplierBaltic",1.738369228594268,1.793659406686666,1.82791667983246,1.8704542423593973,1.9455085095180884
"DairyingLeadYears",1899.646039742728,1924.3092598047772,1933.004600478257,1940.563724460109,1951.2224399289485
"CallErrorRate",0.012639041367908027,0.014997112259206838,0.01636790054256288,0.017619419981665073,0.019538435354139367
