"Parameter","Lower95","Q25","Median","Q75","Upper95"
"OriginLatitude",36.532654771486975,41.36295762452626,45.83146504443139,51.38642517770411,58.52434398025669
"OriginLongitude",-7.218501439039128,2.319154614370383,10.190650284847138,21.14728022537714,33.15347529841399
"OriginTimeBP",6807.7923405014835,6974.451724042083,7220.134721859113,7656.23333110707,8525.950738675418
"Log10InjectFrequency",-2.9271824956670898,-2.459906272199956,-1.8937279383929433,-1.4537438564114833,-1.0823864409280797
"SelectionBase",0.00039630111933540945,0.0045468192345941095,0.007649636926264396,0.011451419615475618,0.014806371524982868
"SelectionDairying",0.012787546149774209,0.02417817292760035,0.03093100898643031,0.03949363721348708,0.053855390798653015
"Migration",0.0396079722115624,0.14644745024398298,0.3487742921015955,0.4545936329131199,0.5878965402852386
"SelectionMultiplierBritishIsles",0.8543267942722166,1.092875857810566,1.4986585075234602,1.899025182574073,2.1667670005746396
"SelectionMultiplierRhineDanube",0.6596732270605454,0.8501736385368758,1.1793421556974595,1.384023135753913,1.7728532582802794
"SelectionMultiplierMediterranean",0.43941920415322855,0.5665376013646641,0.785086434776691,0.9767424131369297,1.3359497870019232
"SelectionMultiplierBaltic",0.8648750436016011,1.2763949507895151,1.6048812045913534,2.1037241438488947,2.355987775886356
