"Parameter","Lower95","Q25","Median","Q75","Upper95"
"Log10InitialFrequency",-4.181155939483398,-3.3573780989048174,-3.0907198368039,-2.0991334730214395,-1.638084110714583
"InitialLatitudeGradient",-0.007690885864167735,-0.003593980147026464,-0.0015777657515412095,0.0021903276989907773,0.010784425727089528
"InitialLongitudeGradient",-0.007612900327765399,-0.004412074692804864,-0.0019210774119858822,0.0027629752096439628,0.007396281282905632
"SelectionBase",0.00014658770787030713,0.001501852778620053,0.004409215452985962,0.008582467236375096,0.013840125651928843
"SelectionDairying",0.0016053558007144446,0.005152950602351832,0.010316260515146926,0.014195119904563758,0.025765212446223956
"Migration",0.0002085128443453891,0.004060043269433821,0.009041160176976029,0.012731358282305151,0.014811011272594734
"SelectionMultiplierBritishIsles",0.8114861652900159,1.1377606814188757,1.3772504174689013,1.861799597999674,2.189504434267116
"SelectionMultiplierRhineDanube",0.6320225321447254,0.9788646459393671,1.2170308160754963,1.4612209395987898,1.7685612309614491
"SelectionMultiplierMediterranean",0.40928294735626963,0.5245885140967107,0.6252686279833334,0.9417550066329846,1.3759358451848158
"SelectionMultiplierBaltic",0.8123345852374981,1.0570894654573397,1.274810666873238,1.8644879697025074,2.334225807017333
