"Region","TimeBinMidBP","ObservedFrequency","CalledAlleles","LatentFrequencyMean","PosteriorMean","PosteriorMedian","Lower95","Upper95","Covered95"
"Baltic",500,0.5833333333333333,192,0.611650229010071,0.6114453125,0.5677083333333334,0.09895833333333333,0.9947916666666666,true
"Baltic",1500,0.5511111111111111,225,0.46042978840935306,0.46136666666666665,0.3688888888888889,0.02666666666666667,0.9555555555555556,true
"Baltic",2500,0.2222222222222222,18,0.29635539018201773,0.3009722222222222,0.2222222222222222,0,0.8888888888888888,true
"Baltic",3500,0.06557377049180328,61,0.14527152182060368,0.14331967213114755,0.08196721311475409,0,0.5081967213114754,true
"Baltic",4500,0.03260869565217391,92,0.05140820166892181,0.050923913043478264,0.021739130434782608,0,0.1956521739130435,true
"Baltic",5500,0,75,0.01636998335914901,0.017633333333333334,0.013333333333333334,0,0.08,true
"Baltic",6500,0,26,0.0072261504985006095,0.007884615384615384,0,0,0.038461538461538464,true
"Baltic",7500,0,56,0.004932482434128862,0.005446428571428572,0,0,0.03571428571428571,true
"Baltic",8500,0,12,0.0037611667743270307,0.0025,0,0,0.08333333333333333,true
"Baltic",9500,0,11,0.0029514322986837105,0.0022727272727272726,0,0,0,true
"British Isles",500,0.6330935251798562,139,0.7414832066825231,0.741546762589928,0.7697841726618705,0.26618705035971224,0.9856115107913669,true
"British Isles",1500,0.6413793103448275,290,0.5479676292338624,0.5487844827586207,0.5551724137931034,0.1413793103448276,0.9172413793103448,true
"British Isles",2500,0.4725274725274725,273,0.3263087596739844,0.32505494505494503,0.31135531135531136,0.05860805860805861,0.6959706959706959,true
"British Isles",3500,0.07142857142857142,84,0.14559241132422396,0.14648809523809525,0.13095238095238096,0.011904761904761904,0.36904761904761907,true
"British Isles",4500,0.018518518518518517,54,0.05204239112765438,0.05379629629629629,0.037037037037037035,0,0.14814814814814814,true
"British Isles",5500,0,193,0.01839229374736125,0.018419689119170985,0.015544041450777202,0,0.05699481865284974,true
"British Isles",6500,0,14,0.008467197947563532,0.009642857142857142,0,0,0.07142857142857142,true
"Mediterranean",500,0.1875,128,0.10107688665935091,0.10208984375,0.078125,0,0.3984375,true
"Mediterranean",1500,0.10178117048346057,393,0.04749633835999724,0.04652035623409669,0.02544529262086514,0,0.2035623409669211,true
"Mediterranean",2500,0.04201680672268908,357,0.02158280224280419,0.021967787114845937,0.008403361344537815,0,0.11204481792717087,true
"Mediterranean",3500,0.040892193308550186,269,0.010077974751721851,0.01033457249070632,0.0037174721189591076,0,0.05947955390334572,true
"Mediterranean",4500,0.008928571428571428,224,0.004980036413414785,0.004676339285714285,0,0,0.03571428571428571,true
"Mediterranean",5500,0,82,0.0026231276426220357,0.0025609756097560977,0,0,0.024390243902439025,true
"Mediterranean",6500,0.011363636363636364,88,0.0014698724702680843,0.0017329545454545456,0,0,0.022727272727272728,true
"Mediterranean",7500,0,99,0.0009102508820403211,0.0008585858585858586,0,0,0.010101010101010102,true
"Mediterranean",8500,0,70,0.0006749466336053042,0.00042857142857142855,0,0,0.014285714285714285,true
"Mediterranean",9500,0,17,0.0005450910819867591,0.0002941176470588235,0,0,0,true
"Rhine-Danube",500,0.4907120743034056,646,0.3277412490110532,0.3285642414860681,0.33436532507739936,0.03869969040247678,0.6749226006191951,true
"Rhine-Danube",1500,0.19778296382730454,1714,0.1848095990960936,0.18539089848308052,0.1674445740956826,0.01750291715285881,0.396732788798133,true
"Rhine-Danube",2500,0.0963302752293578,218,0.0869563355936859,0.08591743119266056,0.0779816513761468,0.0045871559633027525,0.2018348623853211,true
"Rhine-Danube",3500,0.05904059040590406,271,0.03631586321737778,0.03558118081180812,0.033210332103321034,0,0.09225092250922509,true
"Rhine-Danube",4500,0.01643192488262911,426,0.014893887088536322,0.015287558685446009,0.011737089201877934,0,0.046948356807511735,true
"Rhine-Danube",5500,0,219,0.006403961807479183,0.00658675799086758,0.0045662100456621,0,0.0319634703196347,true
"Rhine-Danube",6500,0.0024509803921568627,408,0.0030059548902569688,0.002775735294117647,0,0,0.014705882352941176,true
"Rhine-Danube",7500,0,302,0.0017495718165263614,0.0017218543046357616,0,0,0.009933774834437087,true
"Rhine-Danube",8500,0.07692307692307693,13,0.0013042116754822133,0.0007692307692307692,0,0,0,false
"Rhine-Danube",9500,0,9,0.001043650237840975,0.0016666666666666668,0,0,0,true
