"Scenario","Parameter","Lower95","Median","Upper95"
"Baseline","Log10InitialFrequency",-4.19454882970107,-3.1213409894136603,-1.9940706159432091
"Baseline","SelectionBase",0.00019675869652920373,0.004626932161323939,0.014253865225476921
"Baseline","SelectionDairying",0.0013988544256668001,0.005431848750360913,0.026051760897025468
"Baseline","Migration",0.0005684101608964214,0.006514405582305794,0.01047616299503474
"NarrowSelection","Log10InitialFrequency",-4.105824484901898,-3.261546340257373,-1.782773621596692
"NarrowSelection","SelectionBase",0.000054855916732344274,0.004092107062052973,0.007941599766974623
"NarrowSelection","SelectionDairying",0.0010347316782998931,0.00928777879535768,0.028485917782076497
"NarrowSelection","Migration",0.00006801203132076757,0.006287921639472141,0.014994814117279764
"WideMigration","Log10InitialFrequency",-4.138755488137688,-3.4133104014391193,-1.9944286898753414
"WideMigration","SelectionBase",0.00016129083167236942,0.010154609964192969,0.01293427280370166
"WideMigration","SelectionDairying",0.0007438117002969045,0.007053321025927736,0.03334270133403274
"WideMigration","Migration",0.004961691350361891,0.022595447870408836,0.02734520434986215
"EarlierDairying","Log10InitialFrequency",-4.18234469939521,-3.439132324068898,-2.4652860279620032
"EarlierDairying","SelectionBase",0.0002049074704386503,0.00800327574922255,0.012423856067606022
"EarlierDairying","SelectionDairying",0.0005604780887120795,0.0015232378242148216,0.01910285462097479
"EarlierDairying","Migration",0.00043444304561063497,0.007317754197202878,0.014842916221487498
"LaterDairying","Log10InitialFrequency",-4.059855283722708,-3.160510530820656,-1.7689290260914605
"LaterDairying","SelectionBase",0.0005017825766749559,0.0019534629256135836,0.013078008094100667
"LaterDairying","SelectionDairying",0.0012792602756754483,0.00898392167894507,0.02174214933564945
"LaterDairying","Migration",0.0011152185670302692,0.0021825862852090905,0.011558607960156241
