"Region","TimeBinMidBP","ObservedFrequency","CalledAlleles","LatentFrequencyMean","PosteriorMean","PosteriorMedian","Lower95","Upper95","Covered95"
"Baltic",500,0.5833333333333333,192,0.2741210430406918,0.27298177083333336,0.16666666666666666,0,0.84375,true
"Baltic",1500,0.5511111111111111,225,0.17212076475196358,0.17364814814814813,0.10222222222222223,0,0.5555555555555556,true
"Baltic",2500,0.2222222222222222,18,0.0864098643422285,0.08564814814814815,0.05555555555555555,0,0.3333333333333333,true
"British Isles",500,0.6330935251798562,139,0.33775527465258676,0.3372002398081535,0.17985611510791366,0,0.9064748201438849,true
"British Isles",1500,0.6413793103448275,290,0.2244943610980479,0.22410919540229884,0.1206896551724138,0,0.6482758620689655,true
"British Isles",2500,0.4725274725274725,273,0.11715054378392945,0.11622405372405373,0.08058608058608059,0,0.3076923076923077,false
"Mediterranean",500,0.1875,128,0.07451188625550911,0.07587890625,0.015625,0,0.5390625,true
"Mediterranean",1500,0.10178117048346057,393,0.049591581783144364,0.049204834605597964,0.007633587786259542,0,0.3638676844783715,true
"Mediterranean",2500,0.04201680672268908,357,0.030725152167009155,0.03119747899159664,0.0056022408963585435,0,0.2184873949579832,true
"Rhine-Danube",500,0.4907120743034056,646,0.11646482837025902,0.11727296181630546,0.07739938080495357,0,0.6718266253869969,true
"Rhine-Danube",1500,0.19778296382730454,1714,0.06558026528793166,0.06503792298716453,0.042590431738623105,0,0.3774795799299883,true
"Rhine-Danube",2500,0.0963302752293578,218,0.03132732783368951,0.030103211009174312,0.022935779816513763,0,0.14678899082568808,true
